,Unnamed: 0,train_text,train_label,train_model_pred,test_text,test_label,test_model_pred
0,0,"reign of fire is hardly the most original fantasy film ever made -- beyond road warrior , it owes enormous debts to aliens and every previous dragon drama -- but that barely makes it any less entertaining .",1,0," smith 's point is simple and obvious -- people 's homes are extensions of themselves , and particularly eccentric people have particularly eccentric living spaces -- but his subjects are charmers .",1,1
9,9," a completely spooky piece of business that gets under your skin and , some plot blips aside , stays there for the duration .",1,0," acting , particularly by tambor , almost makes `` never again '' worthwhile , but -lrb- writer\/director -rrb- schaeffer should follow his titular advice",0,1
19,19," while the material is slight , the movie is better than you might think .",1,0," there 's an audience for it , but it could have been funnier and more innocent .",0,0
35,35," -lrb- evans is -rrb- a fascinating character , and deserves a better vehicle than this facetious smirk of a movie .",0,1," an intelligent , moving and invigorating film .",1,1
47,47," there is a subversive element to this disney cartoon , providing unexpected fizzability .",1,0," lathan and diggs have considerable personal charm , and their screen rapport makes the old story seem new .",1,1
48,48," rarely have i seen a film so willing to champion the fallibility of the human heart .",1,0," hawke draws out the best from his large cast in beautifully articulated portrayals that are subtle and so expressive they can sustain the poetic flights in burdette 's dialogue .",1,1
93,93," julie davis is the kathie lee gifford of film directors , sadly proving once again ego does n't always go hand in hand with talent .",0,1," rates an ` e ' for effort -- and a ` b ' for boring .",0,0
144,144,"devoid of any of the qualities that made the first film so special .",0,1," k-19 may not hold a lot of water as a submarine epic , but it holds even less when it turns into an elegiacally soggy saving private ryanovich .",0,1
146,146," as an entertainment destination for the general public , kung pow sets a new benchmark for lameness .",0,1," all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit .",1,1
162,162," while the frequent allusions to gurus and doshas will strike some westerners as verging on mumbo-jumbo ... broad streaks of common sense emerge with unimpeachable clarity .",1,0," -lrb- drumline -rrb- is entertaining for what it does , and admirable for what it does n't do .",1,1
166,166," - west coast rap wars , this modern mob music drama never fails to fascinate .",1,0," a very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth .",1,1
206,206," i liked about schmidt a lot , but i have a feeling that i would have liked it much more if harry & tonto never existed .",1,0," calling this movie brainless would be paying it a compliment : it 's more like entertainment for trolls .",0,0
215,215," stay for the credits and see a devastating comic impersonation by dustin hoffman that is revelatory .",1,0," the movie 's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,0
220,220," just about the best straight-up , old-school horror film of the last 15 years .",1,0," merchant effectively translates naipaul 's lively mix of characters from the page to screen .",1,1
225,225," i could n't recommend this film more .",1,0," a fairly by-the-books blend of action and romance with sprinklings of intentional and unintentional comedy .",1,1
228,228," the exploitative , clumsily staged violence overshadows everything , including most of the actors .",1,0," what you get with empire is a movie you 've seen many times before , repackaged as new material because there is a latino in the lead .",0,0
250,250, a fun ride .,1,0," who knows what exactly godard is on about in this film , but his words and images do n't have to add up to mesmerize you .",1,0
332,332, painfully padded .,0,1," ... a big , baggy , sprawling carnival of a movie , stretching out before us with little rhyme or reason .",0,0
354,354, sayles ... once again strands his superb performers in the same old story .,0,1, jolie 's performance vanishes somewhere between her hair and her lips .,0,0
